Time[Seconds], BTC_USD, ETH_USD, ETH_BTC, BTC_THB, ETH_THB
"1639680786.857627","47892.1","4013.56","0.08383","1614903.85","135375.02",
"1639681105.3166227","47962.83","4025.32","0.08391","1615903.94","135489.43",
"1639681296.3215156","47987.88","4026.47","0.0839","1615670.22","135552.39",
"1639681310.9568138","47996.87","4026.75","0.08389","1615640.23","135554.07",
"1639681321.2913678","48000.8","4027.36","0.08389","1615610.17","135574.28",
"1639745228.525172","47207.73","3837.8","0.0813","1599893.25","130151.41",
"1639745356.8479114","47155.17","3833.55","0.0813","1599698.63","130085.23",
"1639745404.8559895","47112.26","3827.95","0.08125","1599398.9","129934.88",
"1639745429.3089454","47074.9","3823.54","0.08121","1599448.94","129795.05",
"1639745640.1394608","47048.32","3822.74","0.08124","1598778.02","129711.21",
"1640674981.7419846","Tuesday, December 28, 2021 02:03:01","49177.59","3918.87","0.07972","1674998.48","133485.23",
"1640675078.6054242","Tuesday, December 28, 2021 02:04:38","49299.54","3927.64","0.07969","1679498.01","133502.98",
"1640675299.6058333","Tuesday, December 28, 2021 02:08:19","49343.73","3926.54","0.07959","1677998.87","133507.62",
